district,population,pop_density
Ahmednagar,4543159,266
Akola,1818617,321
Amravati,2888445,237
Aurangabad,3701282,365
Beed,2585049,268
Bhandara,1200334,293
Buldhana,2586258,268
Chandrapur,2204307,192
Dhule,2050862,285
Gadchiroli,1072942,77
Gondia,1322331,253
Hingoli,1177345,244
Jalgaon,4224442,359
Jalna,1958483,253
Kolhapur,3876001,504
Latur,2455543,343
Mumbai,30854169,20850
Mumbai Suburban,9367023,20000
Nagpur,4653171,470
Nanded,3361292,319
Nandurbar,1648295,276
Nashik,6107187,393
Osmanabad,1660311,219
Palghar,2990116,551
Parbhani,1836086,295
Pune,9429408,603
Raigad,2635394,368
Ratnagiri,1612672,196
Sangli,2822143,329
Satara,3003922,287
Sindhudurg,849651,168
Solapur,4315527,290
Thane,11060148,1157
Wardha,1300774,187
Washim,1197160,244
Yavatmal,2775457,204

